Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2006,-,"Venezuela (Bolivarian Republic of)",-,VEN,3821,2367,0,0,0,0,0
2007,-,"Venezuela (Bolivarian Republic of)",-,VEN,5089,1751,0,0,0,0,0
2008,-,"Venezuela (Bolivarian Republic of)",-,VEN,5801,1518,0,0,0,0,0
2009,-,"Venezuela (Bolivarian Republic of)",-,VEN,6216,1571,0,0,0,0,0
2010,-,"Venezuela (Bolivarian Republic of)",-,VEN,6697,626,0,0,0,0,0
2011,-,"Venezuela (Bolivarian Republic of)",-,VEN,7575,570,0,0,0,0,0
2012,-,"Venezuela (Bolivarian Republic of)",-,VEN,8204,496,0,0,0,0,0
2013,-,"Venezuela (Bolivarian Republic of)",-,VEN,8396,1154,0,0,0,0,0
2014,-,"Venezuela (Bolivarian Republic of)",-,VEN,8009,4822,0,0,0,0,0
2015,-,"Venezuela (Bolivarian Republic of)",-,VEN,7455,15087,0,0,0,0,0
2016,-,"Venezuela (Bolivarian Republic of)",-,VEN,7543,45074,0,0,0,0,0
2017,-,"Venezuela (Bolivarian Republic of)",-,VEN,9272,148096,0,0,0,0,345585
2018,-,"Venezuela (Bolivarian Republic of)",-,VEN,21047,464223,0,2592947,0,0,0
2019,-,"Venezuela (Bolivarian Republic of)",-,VEN,93239,794491,0,3582202,0,0,494503
2020,-,"Venezuela (Bolivarian Republic of)",-,VEN,171112,851265,0,3862102,0,0,1112517
2021,-,"Venezuela (Bolivarian Republic of)",-,VEN,199202,971106,0,4406432,0,0,1389980
2024,-,"Venezuela (Bolivarian Republic of)",-,VEN,370169,1360041,0,5875359,0,0,810870
2023,-,"Venezuela (Bolivarian Republic of)",-,VEN,347695,1200130,0,5755363,0,0,3293301
2022,-,"Venezuela (Bolivarian Republic of)",-,VEN,230393,1137162,0,5217456,0,0,3388107
2025,-,"Venezuela (Bolivarian Republic of)",-,VEN,417010,1181156,0,6042706,0,0,237702
